0.00419 	 7.786566e+04 	 -4.801341e+04 	 3
0.00592 	 1.441896e+05 	 1.780386e+05 	 6
0.00774 	 6.716378e+04 	 1.189441e+04 	 7
0.00981 	 1.349388e+05 	 -7.545484e+04 	 24
0.01185 	 1.390175e+05 	 5.627409e+04 	 6
0.01331 	 1.192734e+05 	 4.460327e+04 	 43
0.01622 	 1.279686e+05 	 1.837812e+04 	 63
0.01924 	 1.216394e+05 	 3.420687e+04 	 105
0.02321 	 1.096246e+05 	 8.319471e+04 	 205
0.02794 	 9.779149e+04 	 3.005173e+04 	 325
0.03356 	 7.634611e+04 	 3.520266e+04 	 601
0.04023 	 6.892271e+04 	 1.996036e+04 	 960
0.04814 	 5.606194e+04 	 1.581610e+04 	 1712
0.05758 	 4.873123e+04 	 1.495353e+04 	 2842
0.06886 	 4.189534e+04 	 1.220295e+04 	 4949
0.08244 	 3.330611e+04 	 9.009248e+03 	 8474
0.09875 	 2.613774e+04 	 7.476907e+03 	 14666
0.11826 	 2.214906e+04 	 6.164449e+03 	 25029
0.14157 	 1.782236e+04 	 4.251105e+03 	 42958
0.16946 	 1.483787e+04 	 3.888825e+03 	 73561
0.20294 	 1.243627e+04 	 2.844336e+03 	 127031
0.24295 	 1.061422e+04 	 2.205834e+03 	 216600
0.29084 	 9.178986e+03 	 1.584708e+03 	 372889
0.34825 	 8.254458e+03 	 1.159991e+03 	 639909
0.41694 	 7.850380e+03 	 8.333710e+02 	 1097497
0.45229 	 7.732362e+03 	 1.035792e+03 	 27292
0.56717 	 6.896247e+03 	 5.798304e+02 	 53770
0.71102 	 6.352300e+03 	 2.535132e+02 	 105777
0.89148 	 6.026852e+03 	 1.239646e+02 	 208872
1.11795 	 5.898649e+03 	 3.513143e+01 	 411987
