0.00419 	 134323.854374850227032 	 -37165.864257993976935 	 3
0.00592 	 36174.791395446467504 	 20851.870257861661230 	 6
0.00917 	 145076.981044134910917 	 38622.900604545233364 	 15
0.01026 	 64511.663212119361560 	 64666.975642313707795 	 12
0.01185 	 75624.717991286583128 	 20366.135758571905171 	 6
0.01318 	 121229.954021887664567 	 23019.512791102872143 	 39
0.01539 	 94470.646518806737731 	 18146.387573970812809 	 40
0.01761 	 104983.903713765335851 	 46985.934154127993679 	 57
0.01976 	 112417.826054009929067 	 26981.551083760361507 	 75
0.02222 	 92550.419514334411360 	 -12559.133895523855244 	 118
0.02570 	 86465.161449683568208 	 24384.773978885514225 	 219
0.02962 	 68330.106819457796519 	 29392.290182678370911 	 301
0.03374 	 69005.575399276072858 	 32885.743467747670365 	 405
0.03843 	 57830.373491647704213 	 30138.678809643544810 	 655
0.04409 	 50870.857769034140802 	 21145.297343031670607 	 988
0.05046 	 43114.926677598981769 	 18772.723937329072214 	 1471
0.05773 	 40625.490895652030304 	 16252.293521312163648 	 2188
0.06608 	 35986.634939555995516 	 12377.222923658393483 	 3316
0.07550 	 30143.195355633914005 	 11664.554963296353890 	 4793
0.08618 	 24286.482050041420734 	 10212.520074973279407 	 7222
0.09860 	 19935.143388281980151 	 7919.345416455013037 	 11000
0.11291 	 17222.684869002201594 	 6191.857335479699032 	 16559
0.12918 	 14397.725506986786058 	 5683.850525117289180 	 24422
0.14771 	 11860.469055852658130 	 4888.086476863710232 	 36645
0.16889 	 9906.469120384626876 	 4016.179455618951579 	 54651
0.19316 	 8323.708254354844030 	 3504.579506202833727 	 82129
0.22098 	 7032.990736596185343 	 2952.042861194337547 	 123055
0.25273 	 6047.876337673001217 	 2360.056710582758569 	 183272
0.28902 	 5494.623340830242341 	 1932.304168901544244 	 274703
0.33054 	 5241.255976737747915 	 1505.817589531905469 	 410658
0.37803 	 5393.045800545084603 	 1233.080612372866199 	 614479
0.43235 	 6020.334557841597416 	 1024.537257446862668 	 919487
0.49449 	 7555.937528154052416 	 813.088303275855992 	 1375818
0.56288 	 10104.519741111073017 	 744.310107315132882 	 1744864
0.64193 	 14640.001750775745677 	 314.506782413332814 	 1520123
0.72729 	 22860.497034487940255 	 -72.208215150440566 	 844868
0.82051 	 38436.221336718401290 	 906.356974509500787 	 161593
