1.000000 	0.961513 	0.829498 	0.683976 	0.611484 	0.475372 	0.389854 	0.357312 	0.220355 	0.148909 	0.104680 	0.169675 	0.173295 	0.149869 	0.130603 	0.131098 	0.085551 	0.052991 	0.044998 	0.056522 	0.130285 	0.075808 	0.086070 	0.080317 	0.066782 	0.054314 	0.112197 	0.031095 	0.082329 	0.128807 	0.118985 	0.099193 	0.151104 	0.114593 	
0.961513 	1.000000 	0.893380 	0.723541 	0.676164 	0.497815 	0.444968 	0.371866 	0.238882 	0.169189 	0.123600 	0.191149 	0.206561 	0.183468 	0.158132 	0.144825 	0.100940 	0.079021 	0.075920 	0.093480 	0.149344 	0.101517 	0.111633 	0.102690 	0.092908 	0.079075 	0.130768 	0.063027 	0.114515 	0.130624 	0.110189 	0.099001 	0.135825 	0.094000 	
0.829498 	0.893380 	1.000000 	0.929828 	0.879654 	0.718311 	0.627969 	0.486157 	0.357804 	0.252376 	0.197989 	0.231287 	0.218124 	0.179298 	0.144657 	0.145217 	0.098798 	0.083986 	0.088363 	0.090361 	0.126852 	0.111078 	0.115968 	0.127138 	0.097605 	0.092948 	0.123563 	0.093157 	0.122792 	0.129758 	0.129272 	0.106329 	0.151034 	0.102528 	
0.683976 	0.723541 	0.929828 	1.000000 	0.928235 	0.813328 	0.665329 	0.540806 	0.419122 	0.289957 	0.227808 	0.229891 	0.182082 	0.146286 	0.130177 	0.147144 	0.117459 	0.105882 	0.117074 	0.101830 	0.137953 	0.112577 	0.119207 	0.134725 	0.102966 	0.105509 	0.126185 	0.096910 	0.124226 	0.141675 	0.161510 	0.120277 	0.174387 	0.119428 	
0.611484 	0.676164 	0.879654 	0.928235 	1.000000 	0.869477 	0.775952 	0.618824 	0.490632 	0.343393 	0.287350 	0.272702 	0.210696 	0.182702 	0.162545 	0.163833 	0.126810 	0.112678 	0.125230 	0.117076 	0.131735 	0.124537 	0.099826 	0.138245 	0.118872 	0.099263 	0.134196 	0.137207 	0.155265 	0.154522 	0.156240 	0.124128 	0.161266 	0.107130 	
0.475372 	0.497815 	0.718311 	0.813328 	0.869477 	1.000000 	0.918815 	0.773300 	0.599889 	0.436192 	0.354805 	0.277711 	0.189486 	0.185368 	0.188500 	0.173147 	0.110512 	0.142648 	0.173370 	0.136109 	0.157710 	0.178300 	0.119266 	0.182567 	0.163221 	0.118563 	0.166521 	0.172652 	0.165618 	0.160796 	0.191990 	0.140952 	0.156290 	0.119790 	
0.389854 	0.444968 	0.627969 	0.665329 	0.775952 	0.918815 	1.000000 	0.801981 	0.657085 	0.485976 	0.375204 	0.268282 	0.213420 	0.222934 	0.222489 	0.197053 	0.108878 	0.144761 	0.160198 	0.121576 	0.137461 	0.185432 	0.115997 	0.200037 	0.196605 	0.137689 	0.161018 	0.185346 	0.167868 	0.134576 	0.140615 	0.119348 	0.105552 	0.084806 	
0.357312 	0.371866 	0.486157 	0.540806 	0.618824 	0.773300 	0.801981 	1.000000 	0.863989 	0.703282 	0.502485 	0.374406 	0.245895 	0.289393 	0.290613 	0.257508 	0.181614 	0.245180 	0.245688 	0.160297 	0.182436 	0.208736 	0.140018 	0.238044 	0.203948 	0.195514 	0.212154 	0.210240 	0.205574 	0.168385 	0.209672 	0.145106 	0.149232 	0.155678 	
0.220355 	0.238882 	0.357804 	0.419122 	0.490632 	0.599889 	0.657085 	0.863989 	1.000000 	0.892172 	0.656072 	0.451010 	0.295981 	0.316618 	0.303805 	0.253126 	0.194564 	0.196513 	0.197204 	0.136401 	0.171198 	0.222247 	0.165278 	0.217987 	0.195226 	0.179053 	0.189580 	0.200113 	0.163603 	0.121571 	0.153120 	0.118642 	0.125833 	0.134460 	
0.148909 	0.169189 	0.252376 	0.289957 	0.343393 	0.436192 	0.485976 	0.703282 	0.892172 	1.000000 	0.823552 	0.589121 	0.379341 	0.389825 	0.343058 	0.283456 	0.249847 	0.236958 	0.237337 	0.181024 	0.222472 	0.247786 	0.218379 	0.264946 	0.216549 	0.209484 	0.226295 	0.212275 	0.193921 	0.139688 	0.149802 	0.127711 	0.145626 	0.180312 	
