0.054881 	 4.015931e+02 	 -5.939327e+01 	 3.565314e+01 	 12 	 0.054881 	 0.054881 
0.075401 	 3.000803e+02 	 4.672397e+01 	 -3.398939e+01 	 27 	 0.073631 	 0.077614 
0.084958 	 2.613915e+02 	 5.276334e+01 	 8.162925e+01 	 28 	 0.081402 	 0.088494 
0.092539 	 2.106038e+02 	 1.737944e+01 	 5.002387e+01 	 27 	 0.091834 	 0.098175 
0.104606 	 1.750614e+02 	 4.880466e+01 	 3.765357e+01 	 66 	 0.101196 	 0.109763 
0.116896 	 1.690903e+02 	 2.008824e+01 	 -7.244069e+01 	 63 	 0.112473 	 0.122718 
0.129736 	 1.386499e+02 	 -2.445709e+01 	 2.377763e+01 	 112 	 0.125149 	 0.134431 
0.145983 	 1.229410e+02 	 -1.110842e+01 	 -3.411616e+01 	 141 	 0.138840 	 0.151297 
0.160899 	 9.578124e+01 	 8.197371e-01 	 -1.832339e+01 	 168 	 0.155228 	 0.166463 
0.179631 	 8.473152e+01 	 1.035829e+01 	 -5.281779e+00 	 289 	 0.170044 	 0.188524 
0.199998 	 7.654230e+01 	 7.638615e+00 	 1.453937e+01 	 333 	 0.191692 	 0.209701 
0.223329 	 6.541970e+01 	 7.708406e-02 	 -5.858931e+00 	 571 	 0.211133 	 0.234132 
0.248271 	 5.611656e+01 	 7.550498e+00 	 -3.033573e+00 	 601 	 0.236691 	 0.257416 
0.275414 	 4.768495e+01 	 -3.542010e+00 	 -3.784449e+00 	 993 	 0.260903 	 0.289366 
0.306781 	 4.263350e+01 	 4.190857e+00 	 4.967498e+00 	 1264 	 0.290405 	 0.321888 
0.341214 	 3.687517e+01 	 -2.219951e+00 	 4.855197e-01 	 1837 	 0.322822 	 0.358203 
0.379646 	 3.309512e+01 	 -2.281324e+00 	 -1.098653e+00 	 2404 	 0.359043 	 0.398788 
0.422235 	 2.958003e+01 	 6.146436e-01 	 -1.187866e+00 	 3448 	 0.399542 	 0.443148 
0.470286 	 2.664914e+01 	 1.816389e+00 	 1.099924e+00 	 4714 	 0.444505 	 0.493932 
0.523131 	 2.444510e+01 	 8.982288e-01 	 1.432360e+00 	 6412 	 0.494542 	 0.549362 
0.581423 	 2.234193e+01 	 -1.700431e-01 	 9.234441e-01 	 8750 	 0.549910 	 0.611133 
0.646491 	 2.092147e+01 	 9.826016e-01 	 9.192987e-01 	 12181 	 0.611626 	 0.679289 
0.719791 	 2.004918e+01 	 1.309379e-01 	 1.248322e+00 	 17009 	 0.680175 	 0.756487 
0.801056 	 1.902442e+01 	 -3.075339e-01 	 1.428173e-02 	 23066 	 0.757283 	 0.841673 
0.890909 	 1.861272e+01 	 -9.657319e-03 	 5.183297e-01 	 31800 	 0.842031 	 0.936528 
0.991082 	 1.822409e+01 	 3.229793e-01 	 8.374206e-01 	 43880 	 0.936849 	 1.041879 
1.102800 	 1.831395e+01 	 1.216899e-01 	 1.084765e+00 	 60597 	 1.042168 	 1.159024 
1.226980 	 1.862850e+01 	 4.573197e-02 	 1.908179e+00 	 83151 	 1.159543 	 1.289654 
1.364898 	 1.960574e+01 	 -1.286385e-01 	 3.414901e+00 	 114462 	 1.289887 	 1.434704 
1.518367 	 2.217273e+01 	 2.125516e-01 	 7.525784e+00 	 157581 	 1.434914 	 1.596284 
1.683932 	 2.551607e+01 	 2.209786e+00 	 9.306754e+00 	 173402 	 1.596661 	 1.775817 
1.870799 	 2.997339e+01 	 5.846537e+00 	 1.035524e+01 	 154393 	 1.775987 	 1.975729 
2.073980 	 4.242742e+01 	 2.144128e+01 	 2.674821e+01 	 107944 	 1.975882 	 2.198134 
2.292125 	 6.728533e+01 	 4.681492e+01 	 6.239795e+01 	 39277 	 2.198271 	 2.445271 
