0.01257 	 39133.47738 	 62263.43026 	 1.59105 	 3
0.01777 	 29539.74593 	 16092.31039 	 0.54477 	 6
0.02513 	 43648.34762 	 -27772.64878 	 -0.63628 	 3
0.02810 	 34944.88320 	 38386.77424 	 1.09849 	 12
0.03078 	 31191.40438 	 -26374.52245 	 -0.84557 	 12
0.03708 	 15727.71398 	 -1724.87114 	 -0.10967 	 21
0.04071 	 27137.07013 	 21057.06502 	 0.77595 	 24
0.04616 	 24923.69401 	 13759.79560 	 0.55208 	 40
0.05283 	 20413.63871 	 19041.99260 	 0.93281 	 57
0.05927 	 20780.29733 	 15029.77550 	 0.72327 	 75
0.06666 	 17308.06627 	 5374.59446 	 0.31053 	 118
0.07656 	 14231.05504 	 7943.30358 	 0.55817 	 195
0.08701 	 10863.77592 	 3939.69962 	 0.36265 	 253
0.09823 	 9083.94593 	 4273.56186 	 0.47045 	 363
0.11091 	 7558.13056 	 4176.50785 	 0.55258 	 517
0.12533 	 6190.29823 	 2779.49101 	 0.44901 	 769
0.14174 	 5353.13210 	 2666.63907 	 0.49815 	 1089
0.16051 	 4281.45317 	 2088.54405 	 0.48781 	 1636
0.18211 	 3361.52411 	 1293.23259 	 0.38472 	 2404
0.20625 	 2711.22001 	 1338.21043 	 0.49358 	 3386
0.23324 	 2238.15923 	 860.67693 	 0.38455 	 4912
0.26414 	 1761.23954 	 609.37423 	 0.34599 	 7249
0.29926 	 1410.14914 	 423.26105 	 0.30015 	 10493
0.33880 	 1135.14425 	 272.37577 	 0.23995 	 15119
0.38330 	 880.46902 	 137.10036 	 0.15571 	 21788
0.43386 	 713.95022 	 82.15102 	 0.11507 	 31962
0.49128 	 559.07285 	 -0.99626 	 -0.00178 	 46211
0.55615 	 444.34113 	 -36.86025 	 -0.08295 	 67051
0.62950 	 359.75797 	 -73.37477 	 -0.20396 	 96993
0.71264 	 296.89039 	 -86.06754 	 -0.28990 	 141343
0.80697 	 247.13911 	 -89.85201 	 -0.36357 	 205280
0.91362 	 217.32412 	 -98.58412 	 -0.45363 	 297083
1.03434 	 204.61098 	 -97.59647 	 -0.47699 	 431832
1.17101 	 207.76682 	 -100.17699 	 -0.48216 	 625821
1.32569 	 230.60345 	 -101.89741 	 -0.44187 	 908363
1.50090 	 283.51652 	 -109.32294 	 -0.38560 	 1319097
1.69222 	 361.00873 	 -111.95536 	 -0.31012 	 1617954
