0.785398 	 3.413624e+02 	 -4.104041e+01 	 3 	 0.785398 	 0.785398 
0.878102 	 4.774780e+02 	 2.379245e+02 	 12 	 0.878102 	 0.878102 
0.961912 	 6.417845e+02 	 4.708437e+02 	 12 	 0.961912 	 0.961912 
1.110721 	 4.818031e+02 	 4.482723e+02 	 6 	 1.110721 	 1.110721 
1.206420 	 6.957360e+02 	 7.180517e+01 	 27 	 1.178097 	 1.241824 
1.359335 	 5.716344e+02 	 2.394063e+02 	 28 	 1.302436 	 1.415897 
1.480618 	 3.618979e+02 	 4.210235e+01 	 27 	 1.469345 	 1.570796 
1.673698 	 5.434927e+02 	 5.086932e+01 	 66 	 1.619140 	 1.756204 
1.870336 	 4.542052e+02 	 1.963519e+02 	 63 	 1.799573 	 1.963495 
2.075774 	 4.463809e+02 	 -4.626363e+01 	 112 	 2.002380 	 2.150901 
2.335728 	 4.315156e+02 	 1.616333e+02 	 141 	 2.221441 	 2.420760 
2.574381 	 3.914930e+02 	 -1.206084e+00 	 168 	 2.483647 	 2.663415 
2.874098 	 3.125919e+02 	 2.951778e+01 	 289 	 2.720699 	 3.016379 
3.199972 	 2.738389e+02 	 -1.097969e+01 	 333 	 3.067078 	 3.355222 
3.573258 	 2.262982e+02 	 8.193895e+00 	 571 	 3.378125 	 3.746110 
3.972339 	 1.849745e+02 	 -1.738704e+01 	 601 	 3.787053 	 4.118663 
4.406621 	 1.460796e+02 	 -2.569716e+00 	 993 	 4.174448 	 4.629854 
4.908499 	 1.050240e+02 	 4.694118e+00 	 1264 	 4.646478 	 5.150200 
5.459422 	 7.920959e+01 	 5.068603e-01 	 1837 	 5.165150 	 5.731254 
6.074337 	 6.783727e+01 	 -1.784473e+00 	 2404 	 5.744692 	 6.380605 
6.755753 	 5.606393e+01 	 1.032740e+00 	 3448 	 6.392678 	 7.090367 
7.524583 	 4.961645e+01 	 -2.953567e+00 	 4714 	 7.112083 	 7.902917 
8.370095 	 4.489810e+01 	 1.833985e-01 	 6412 	 7.912667 	 8.789795 
9.302772 	 4.307728e+01 	 1.787065e+00 	 8750 	 8.798563 	 9.778128 
10.343850 	 3.871928e+01 	 9.434365e-01 	 12181 	 9.786011 	 10.868617 
11.516661 	 3.470301e+01 	 5.412029e-01 	 17009 	 10.882796 	 12.103799 
12.816898 	 3.329609e+01 	 -3.315439e-01 	 23066 	 12.116533 	 13.466773 
14.254550 	 3.323710e+01 	 7.443490e-01 	 31800 	 13.472498 	 14.984442 
15.857319 	 3.421423e+01 	 2.940557e-01 	 43880 	 14.989587 	 16.670064 
17.644801 	 3.540114e+01 	 -3.953997e-01 	 60597 	 16.674689 	 18.544380 
19.631679 	 3.783488e+01 	 -2.545429e-01 	 83151 	 18.552694 	 20.634459 
21.838375 	 4.259488e+01 	 1.290690e-01 	 114462 	 20.638196 	 22.955268 
24.293865 	 4.927535e+01 	 -1.800076e-01 	 157581 	 22.958627 	 25.540540 
26.942917 	 5.910463e+01 	 -8.464716e-02 	 173402 	 25.546577 	 28.413074 
29.932781 	 7.440734e+01 	 4.368344e-03 	 154393 	 28.415788 	 31.611666 
33.183679 	 9.968781e+01 	 3.978194e-01 	 107944 	 31.614105 	 35.170144 
36.673995 	 1.392647e+02 	 -1.111981e+01 	 39277 	 35.172336 	 39.124340 
40.238946 	 2.146540e+02 	 1.549941e+01 	 5794 	 39.128281 	 43.305647 
