2.000000e-02 	 1.443700e+03 
2.015741e-02 	 1.441597e+03 
2.031606e-02 	 1.439413e+03 
2.047596e-02 	 1.437134e+03 
2.063712e-02 	 1.434756e+03 
2.079954e-02 	 1.432286e+03 
2.096324e-02 	 1.429730e+03 
2.112824e-02 	 1.427092e+03 
2.129453e-02 	 1.424374e+03 
2.146213e-02 	 1.421575e+03 
2.163104e-02 	 1.418695e+03 
2.180129e-02 	 1.415730e+03 
2.197288e-02 	 1.412677e+03 
2.214582e-02 	 1.409531e+03 
2.232012e-02 	 1.406287e+03 
2.249579e-02 	 1.402941e+03 
2.267284e-02 	 1.399500e+03 
2.285129e-02 	 1.395980e+03 
2.303114e-02 	 1.392401e+03 
2.321241e-02 	 1.388761e+03 
2.339510e-02 	 1.385041e+03 
2.357924e-02 	 1.381222e+03 
2.376482e-02 	 1.377297e+03 
2.395186e-02 	 1.373277e+03 
2.414037e-02 	 1.369169e+03 
2.433037e-02 	 1.364983e+03 
2.452186e-02 	 1.360728e+03 
2.471486e-02 	 1.356412e+03 
2.490938e-02 	 1.352033e+03 
2.510543e-02 	 1.347580e+03 
2.530303e-02 	 1.343045e+03 
2.550218e-02 	 1.338424e+03 
2.570289e-02 	 1.333724e+03 
2.590519e-02 	 1.328948e+03 
2.610907e-02 	 1.324101e+03 
2.631457e-02 	 1.319182e+03 
2.652168e-02 	 1.314193e+03 
2.673042e-02 	 1.309138e+03 
2.694080e-02 	 1.304022e+03 
2.715284e-02 	 1.298850e+03 
2.736655e-02 	 1.293618e+03 
2.758193e-02 	 1.288319e+03 
2.779902e-02 	 1.282945e+03 
2.801781e-02 	 1.277501e+03 
2.823833e-02 	 1.272000e+03 
2.846058e-02 	 1.266453e+03 
2.868458e-02 	 1.260863e+03 
2.891034e-02 	 1.255227e+03 
2.913788e-02 	 1.249545e+03 
2.936721e-02 	 1.243812e+03 
2.959835e-02 	 1.238024e+03 
2.983130e-02 	 1.232179e+03 
3.006609e-02 	 1.226283e+03 
3.030273e-02 	 1.220350e+03 
3.054123e-02 	 1.214390e+03 
3.078160e-02 	 1.208408e+03 
3.102387e-02 	 1.202401e+03 
3.126804e-02 	 1.196368e+03 
3.151414e-02 	 1.190310e+03 
3.176217e-02 	 1.184225e+03 
3.201216e-02 	 1.178115e+03 
3.226411e-02 	 1.171982e+03 
3.251805e-02 	 1.165829e+03 
3.277398e-02 	 1.159660e+03 
3.303193e-02 	 1.153478e+03 
3.329191e-02 	 1.147286e+03 
3.355394e-02 	 1.141086e+03 
3.381802e-02 	 1.134880e+03 
3.408419e-02 	 1.128666e+03 
3.435245e-02 	 1.122444e+03 
3.462282e-02 	 1.116220e+03 
3.489532e-02 	 1.110000e+03 
3.516997e-02 	 1.103789e+03 
3.544677e-02 	 1.097589e+03 
3.572576e-02 	 1.091398e+03 
3.600694e-02 	 1.085219e+03 
3.629033e-02 	 1.079052e+03 
3.657596e-02 	 1.072903e+03 
3.686383e-02 	 1.066776e+03 
3.715397e-02 	 1.060674e+03 
3.744639e-02 	 1.054600e+03 
3.774111e-02 	 1.048559e+03 
3.803816e-02 	 1.042554e+03 
3.833754e-02 	 1.036586e+03 
3.863927e-02 	 1.030657e+03 
3.894339e-02 	 1.024770e+03 
3.924989e-02 	 1.018926e+03 
3.955881e-02 	 1.013127e+03 
3.987016e-02 	 1.007374e+03 
4.018396e-02 	 1.001670e+03 
4.050023e-02 	 9.960157e+02 
4.081898e-02 	 9.904139e+02 
4.114025e-02 	 9.848671e+02 
4.146405e-02 	 9.793775e+02 
4.179039e-02 	 9.739478e+02 
4.211931e-02 	 9.685805e+02 
4.245081e-02 	 9.632772e+02 
4.278492e-02 	 9.580371e+02 
4.312166e-02 	 9.528588e+02 
4.346105e-02 	 9.477423e+02 
4.380311e-02 	 9.426897e+02 
4.414786e-02 	 9.377037e+02 
4.449533e-02 	 9.327860e+02 
4.484553e-02 	 9.279364e+02 
4.519849e-02 	 9.231541e+02 
4.555423e-02 	 9.184395e+02 
4.591276e-02 	 9.137947e+02 
4.627412e-02 	 9.092223e+02 
4.663832e-02 	 9.047233e+02 
4.700539e-02 	 9.002957e+02 
4.737535e-02 	 8.959373e+02 
4.774822e-02 	 8.916474e+02 
4.812402e-02 	 8.874283e+02 
4.850279e-02 	 8.832825e+02 
4.888453e-02 	 8.792117e+02 
4.926928e-02 	 8.752157e+02 
4.965705e-02 	 8.712942e+02 
5.004788e-02 	 8.674470e+02 
5.044178e-02 	 8.636746e+02 
5.083879e-02 	 8.599773e+02 
5.123892e-02 	 8.563550e+02 
5.164219e-02 	 8.528067e+02 
5.204865e-02 	 8.493316e+02 
5.245830e-02 	 8.459273e+02 
5.287117e-02 	 8.425898e+02 
5.328730e-02 	 8.393147e+02 
5.370670e-02 	 8.360979e+02 
5.412940e-02 	 8.329349e+02 
5.455542e-02 	 8.298214e+02 
5.498480e-02 	 8.267530e+02 
5.541756e-02 	 8.237256e+02 
5.585373e-02 	 8.207349e+02 
5.629333e-02 	 8.177773e+02 
5.673639e-02 	 8.148496e+02 
5.718293e-02 	 8.119486e+02 
5.763299e-02 	 8.090705e+02 
5.808660e-02 	 8.062111e+02 
5.854377e-02 	 8.033659e+02 
5.900454e-02 	 8.005316e+02 
5.946894e-02 	 7.977064e+02 
5.993699e-02 	 7.948880e+02 
6.040873e-02 	 7.920738e+02 
6.088418e-02 	 7.892601e+02 
6.136337e-02 	 7.864434e+02 
6.184633e-02 	 7.836203e+02 
6.233309e-02 	 7.807877e+02 
6.282369e-02 	 7.779423e+02 
