    0.10000E-03    0.37029E+03
    0.10202E-03    0.37746E+03
    0.10408E-03    0.38477E+03
    0.10618E-03    0.39222E+03
    0.10833E-03    0.39982E+03
    0.11052E-03    0.40756E+03
    0.11275E-03    0.41546E+03
    0.11503E-03    0.42350E+03
    0.11735E-03    0.43171E+03
    0.11972E-03    0.44007E+03
    0.12214E-03    0.44859E+03
    0.12461E-03    0.45727E+03
    0.12712E-03    0.46613E+03
    0.12969E-03    0.47515E+03
    0.13231E-03    0.48435E+03
    0.13499E-03    0.49373E+03
    0.13771E-03    0.50329E+03
    0.14049E-03    0.51303E+03
    0.14333E-03    0.52296E+03
    0.14623E-03    0.53309E+03
    0.14918E-03    0.54340E+03
    0.15220E-03    0.55392E+03
    0.15527E-03    0.56464E+03
    0.15841E-03    0.57557E+03
    0.16161E-03    0.58670E+03
    0.16487E-03    0.59805E+03
    0.16820E-03    0.60963E+03
    0.17160E-03    0.62142E+03
    0.17507E-03    0.63344E+03
    0.17860E-03    0.64569E+03
    0.18221E-03    0.65818E+03
    0.18589E-03    0.67091E+03
    0.18965E-03    0.68388E+03
    0.19348E-03    0.69710E+03
    0.19739E-03    0.71058E+03
    0.20138E-03    0.72432E+03
    0.20544E-03    0.73832E+03
    0.20959E-03    0.75258E+03
    0.21383E-03    0.76713E+03
    0.21815E-03    0.78195E+03
    0.22255E-03    0.79706E+03
    0.22705E-03    0.81245E+03
    0.23164E-03    0.82814E+03
    0.23632E-03    0.84413E+03
    0.24109E-03    0.86043E+03
    0.24596E-03    0.87704E+03
    0.25093E-03    0.89397E+03
    0.25600E-03    0.91122E+03
    0.26117E-03    0.92881E+03
    0.26645E-03    0.94672E+03
    0.27183E-03    0.96498E+03
    0.27732E-03    0.98359E+03
    0.28292E-03    0.10026E+04
    0.28864E-03    0.10219E+04
    0.29447E-03    0.10416E+04
    0.30042E-03    0.10616E+04
    0.30649E-03    0.10821E+04
    0.31268E-03    0.11029E+04
    0.31899E-03    0.11242E+04
    0.32544E-03    0.11458E+04
    0.33201E-03    0.11679E+04
    0.33872E-03    0.11903E+04
    0.34556E-03    0.12132E+04
    0.35254E-03    0.12365E+04
    0.35966E-03    0.12603E+04
    0.36693E-03    0.12845E+04
    0.37434E-03    0.13092E+04
    0.38190E-03    0.13343E+04
    0.38962E-03    0.13599E+04
    0.39749E-03    0.13860E+04
    0.40552E-03    0.14126E+04
    0.41371E-03    0.14397E+04
    0.42207E-03    0.14673E+04
    0.43060E-03    0.14954E+04
    0.43929E-03    0.15240E+04
    0.44817E-03    0.15532E+04
    0.45722E-03    0.15829E+04
    0.46646E-03    0.16132E+04
    0.47588E-03    0.16440E+04
    0.48550E-03    0.16754E+04
    0.49530E-03    0.17074E+04
    0.50531E-03    0.17400E+04
    0.51552E-03    0.17732E+04
    0.52593E-03    0.18069E+04
    0.53656E-03    0.18414E+04
    0.54739E-03    0.18764E+04
    0.55845E-03    0.19121E+04
    0.56973E-03    0.19485E+04
    0.58124E-03    0.19855E+04
    0.59299E-03    0.20232E+04
    0.60496E-03    0.20616E+04
    0.61719E-03    0.21007E+04
    0.62965E-03    0.21405E+04
    0.64237E-03    0.21810E+04
    0.65535E-03    0.22222E+04
    0.66859E-03    0.22642E+04
    0.68210E-03    0.23070E+04
    0.69588E-03    0.23505E+04
    0.70993E-03    0.23948E+04
    0.72427E-03    0.24399E+04
    0.73891E-03    0.24859E+04
    0.75383E-03    0.25326E+04
    0.76906E-03    0.25802E+04
    0.78460E-03    0.26286E+04
    0.80045E-03    0.26778E+04
    0.81662E-03    0.27280E+04
    0.83311E-03    0.27790E+04
    0.84994E-03    0.28309E+04
    0.86711E-03    0.28837E+04
    0.88463E-03    0.29375E+04
    0.90250E-03    0.29922E+04
    0.92073E-03    0.30478E+04
    0.93933E-03    0.31044E+04
    0.95831E-03    0.31619E+04
    0.97767E-03    0.32205E+04
    0.99742E-03    0.32801E+04
    0.10176E-02    0.33406E+04
    0.10381E-02    0.34022E+04
    0.10591E-02    0.34649E+04
    0.10805E-02    0.35286E+04
    0.11023E-02    0.35934E+04
    0.11246E-02    0.36592E+04
    0.11473E-02    0.37262E+04
    0.11705E-02    0.37942E+04
    0.11941E-02    0.38634E+04
    0.12182E-02    0.39337E+04
    0.12429E-02    0.40052E+04
    0.12680E-02    0.40778E+04
    0.12936E-02    0.41516E+04
    0.13197E-02    0.42266E+04
    0.13464E-02    0.43028E+04
    0.13736E-02    0.43802E+04
    0.14013E-02    0.44588E+04
    0.14296E-02    0.45387E+04
    0.14585E-02    0.46198E+04
    0.14880E-02    0.47021E+04
    0.15180E-02    0.47857E+04
    0.15487E-02    0.48707E+04
    0.15800E-02    0.49569E+04
    0.16119E-02    0.50444E+04
    0.16445E-02    0.51332E+04
    0.16777E-02    0.52233E+04
    0.17116E-02    0.53148E+04
    0.17462E-02    0.54076E+04
    0.17814E-02    0.55017E+04
    0.18174E-02    0.55972E+04
    0.18541E-02    0.56941E+04
    0.18916E-02    0.57923E+04
    0.19298E-02    0.58919E+04
    0.19688E-02    0.59929E+04
    0.20086E-02    0.60953E+04
    0.20491E-02    0.61990E+04
    0.20905E-02    0.63042E+04
    0.21328E-02    0.64107E+04
    0.21758E-02    0.65186E+04
    0.22198E-02    0.66280E+04
    0.22646E-02    0.67387E+04
    0.23104E-02    0.68508E+04
    0.23571E-02    0.69643E+04
    0.24047E-02    0.70793E+04
    0.24533E-02    0.71956E+04
    0.25028E-02    0.73133E+04
    0.25534E-02    0.74323E+04
    0.26050E-02    0.75528E+04
