0.024544 	 1.753032e+03 	 6.991846e+00 
0.027441 	 2.048338e+03 	 8.178341e+01 
0.030060 	 1.831785e+03 	 -1.337546e+03 
0.034710 	 1.828568e+03 	 6.405431e+02 
0.036816 	 1.489728e+03 	 -1.839842e+02 
0.039754 	 1.398802e+03 	 -8.108637e+01 
0.043813 	 1.296373e+03 	 -6.809127e+02 
0.046269 	 1.212932e+03 	 3.042891e+02 
0.051730 	 1.234247e+03 	 1.368224e+02 
0.056229 	 1.183265e+03 	 -5.066867e+01 
0.062212 	 1.100578e+03 	 1.593015e+02 
0.066800 	 1.027949e+03 	 -2.213601e+01 
0.073150 	 9.066991e+02 	 -1.511758e+02 
0.079986 	 7.970742e+02 	 -2.672602e+01 
0.086882 	 7.027688e+02 	 1.177786e+02 
0.093683 	 6.786952e+02 	 -3.472528e+01 
0.102436 	 5.805874e+02 	 -5.943088e+01 
0.111919 	 5.276139e+02 	 2.089547e+01 
0.121395 	 5.047409e+02 	 -4.184915e+00 
0.131991 	 4.682977e+02 	 9.135413e+00 
0.143484 	 4.185343e+02 	 -9.688475e+00 
0.156174 	 3.841245e+02 	 -3.388006e+01 
0.170723 	 3.365154e+02 	 1.224494e+01 
0.185691 	 3.168151e+02 	 2.661102e+01 
0.204337 	 2.890787e+02 	 -7.355234e+01 
0.222725 	 2.812055e+02 	 5.871150e+01 
0.248849 	 2.189243e+02 	 -2.224381e+00 
0.278822 	 2.106647e+02 	 1.077726e+01 
0.315355 	 2.110612e+02 	 -3.740832e+01 
0.352128 	 1.872003e+02 	 -2.012319e+00 
0.392810 	 1.621072e+02 	 -9.085811e+00 
0.441257 	 1.674362e+02 	 4.656139e+00 
0.492849 	 1.546126e+02 	 3.795073e+01 
0.551535 	 1.470214e+02 	 1.944149e+01 
0.618091 	 1.446618e+02 	 -6.606793e+00 
0.692543 	 1.464785e+02 	 4.492455e+00 
0.775834 	 1.510871e+02 	 1.630733e+00 
0.868725 	 1.470365e+02 	 8.348716e-01 
